residence_county,workplace_county,workers_in_workplace_county,percent_working
Los Angeles County,LA Metro,3730787,89.45
Los Angeles County,Other Counties,204331,4.90
Los Angeles County,Inland Empire,179589,4.31
Los Angeles County,Ventura County,56310,1.35
Orange County,LA Metro,1223081,87.16
Orange County,Other Counties,89246,6.36
Orange County,Inland Empire,83445,5.95
Orange County,Ventura County,7433,0.53
Riverside County,Inland Empire,576759,62.58
Riverside County,LA Metro,239762,26.01
Riverside County,Other Counties,100446,10.90
Riverside County,Ventura County,4704,0.51
San Bernardino County,Inland Empire,508386,59.68
San Bernardino County,LA Metro,284408,33.39
San Bernardino County,Other Counties,54134,6.36
San Bernardino County,Ventura County,4885,0.57
Ventura County,Ventura County,192941,51.83
Ventura County,LA Metro,132323,35.54
Ventura County,Other Counties,37162,9.98
Ventura County,Inland Empire,9856,2.65
