"workplace_county","residence_county","total_workers","percent_residing"
"Los Angeles County","Los Angeles County","3401665","81.8311"
"Los Angeles County","Orange County","311869","7.5024"
"Los Angeles County","San Bernardino County","203201","4.8882"
"Los Angeles County","Riverside County","122941","2.9575"
"Los Angeles County","Ventura County","117257","2.8208"
"Orange County","Orange County","911212","62.6940"
"Orange County","Los Angeles County","329122","22.6445"
"Orange County","Riverside County","116821","8.0376"
"Orange County","San Bernardino County","81207","5.5873"
"Orange County","Ventura County","15066","1.0366"
"Riverside County","Riverside County","442055","67.3308"
"Riverside County","San Bernardino County","101569","15.4703"
"Riverside County","Los Angeles County","65641","9.9980"
"Riverside County","Orange County","43020","6.5525"
"Riverside County","Ventura County","4257","0.6484"
"San Bernardino County","San Bernardino County","406817","57.9930"
"San Bernardino County","Riverside County","134704","19.2025"
"San Bernardino County","Los Angeles County","113948","16.2436"
"San Bernardino County","Orange County","40425","5.7627"
"San Bernardino County","Ventura County","5599","0.7982"
"Ventura County","Ventura County","192941","72.4598"
"Ventura County","Los Angeles County","56310","21.1475"
"Ventura County","Orange County","7433","2.7915"
"Ventura County","San Bernardino County","4885","1.8346"
"Ventura County","Riverside County","4704","1.7666"
