label,100A,101A,102A,103A,104A,105A,106A,107A,108A,108B,109A,109B,10A,10B,110A,111A,112A,113A,114A,115A,116A,117A,118A,119A,11A,120A,121A,122A,123A,124A,125A,126A,127A,128A,129A,12A,130A,130B,131A,132A,133A,134A,135A,136A,136B,137A,137B,138A,139A,13A,140A,141A,142A,143A,143B,143C,143D,143E,143F,143G,144A,144B,144C,144D,144E,144F,144G,144H,144I,144J,144K,144L,144M,144N,144O,144P,144Q,144R,144S,144T,144U,144V,144W,144X,144Y,14A,15A,16A,17A,18A,19A,1A,20A,21A,21B,22A,23A,24A,25A,25B,26A,27A,28A,29A,2A,30A,31A,32A,33A,34A,35A,36A,37A,38A,39A,39B,3A,40A,41A,42A,43A,44A,45A,46A,47A,48A,49A,4A,50A,51A,52A,53A,54A,55A,56A,57A,58A,58B,59A,5A,60A,61A,62A,63A,64A,65A,66A,67A,68A,69A,6A,70A,71A,72A,73A,74A,75A,76A,77A,78A,79A,79B,7A,80A,81A,81B,82A,83A,84A,85A,86A,87A,88A,89A,8A,90A,90B,90C,90D,90E,90F,90G,91A,92A,93A,94A,95A,96A,97A,98A,99A,9A
mar,2,2,5,5,5,3,4,1,3,4,3,2,2,0,0,4,6,1,7,0,2,0,0,0,1,0,0,2,0,2,0,3,3,2,0,3,0,0,0,0,0,0,0,1,1,1,2,0,0,1,0,0,0,14,4,0,0,2,2,4,18,0,0,0,0,0,0,0,0,0,0,16,0,6,0,4,4,6,6,0,0,0,0,0,0,7,8,1,5,1,5,3,1,1,1,5,3,1,5,2,4,1,4,3,2,1,1,1,3,2,2,0,1,4,2,0,4,2,5,1,2,6,1,1,1,1,6,1,2,6,0,0,4,1,1,1,2,1,3,1,4,2,2,0,2,2,4,1,4,2,2,1,1,4,1,0,2,0,3,2,4,5,1,4,1,0,1,1,0,1,1,2,2,2,2,7,0,3,3,0,0,0,0,6,0,5,1,5,2,3,3,3
jun,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mon,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,1,4,4,2,3,0,2,0,0,0,4,1,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,1,4,2,0,0,0,0,0,0,0,0,0,2,0,1,2,0,2,2,2,2,2,0,0,0,0,0,0,0,0,2,2,2,1,4,0,4,0,0,0
fri,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,7,1,1,3,6,2,3,1,1,0,0,1,0,1,0,0,0,0,0,6,1,0,5,5,5,0,0,0
may,2,5,2,2,1,4,1,2,3,4,3,1,2,0,1,1,2,1,7,1,1,0,0,0,1,0,0,4,4,2,1,1,1,1,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,2,2,0,0,0,4,1,4,4,6,0,4,0,0,0,4,8,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,1,1,1,1,1,1,5,6,1,4,2,5,2,6,1,1,3,2,2,2,2,9,1,4,0,1,4,3,0,2,3,3,1,5,3,1,2,0,4,2,1,2,2,0,5,1,2,1,1,2,1,2,1,1,5,8,0,1,2,4,2,4,5,1,5,2,4,2,2,0,0,1,1,4,5,1,1,2,0,1,2,1,2,3,2,2,2,1,1,0,1,0,0,0,0,2,2,2,1,4,4,4,1,1,3
ond,4,2,5,2,2,0,4,2,3,4,3,3,0,0,2,2,2,3,3,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,2,3,1,2,1,0,0,0,0,1,1,1,1,0,0,2,0,0,0,15,0,12,0,3,4,4,21,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,13,1,6,4,0,6,8,1,5,2,1,1,1,5,1,5,1,1,1,2,5,3,0,3,1,3,2,2,6,0,2,4,1,4,2,0,2,5,2,1,1,6,1,0,2,1,1,1,1,1,0,0,0,0,0,1,2,1,1,1,0,0,8,0,0,1,4,1,4,4,1,4,2,1,2,2,2,2,2,4,2,5,1,1,7,0,2,2,6,5,3,0,1,0,2,3,0,0,1,0,0,0,1,3,1,1,0,5,0,0,0,3
wed,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,4,4,21,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,4,1,2,1,0,0,0,0,0,0,0,0,0,0,0,2,0,5,0,2,0,0,0
thu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2,0,0,1,2,4,18,3,0,0,0,0,0,0,0,0,0,16,0,4,0,4,4,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,1,1,1,0,2,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
sun,1,0,1,1,1,4,0,1,0,0,0,0,0,0,0,2,4,0,0,0,1,0,1,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,1,4,4,2,3,0,2,0,0,0,4,1,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,5,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,5,4,0,0,0,4,0,0,0,0,0,0,0,6,0,0,0,2,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,2,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,2,0,2,2,2,2,1,0,1,0,1,0,0,0,0,3,1,2,1,4,4,4,0,0,0
aab,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,1,4,4,6,0,4,0,0,0,4,8,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,2,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,2,2,0,0,0,4,0,0,0
